Basti ID,Basti  Name,Nagar ID,created on,updated on
8030448,ThirmulGerry,80304,07-Jan-21,07-Jan-21
8030549,SHYAMLAL,80305,07-Jan-21,07-Jan-21
8030550,RASOOLPURA,80305,07-Jan-21,07-Jan-21
8030551,PRAKASH NAGAR,80305,07-Jan-21,07-Jan-21
8030552,POLICE LINES,80305,07-Jan-21,07-Jan-21
8030553,BALAMRAI,80305,07-Jan-21,07-Jan-21
8030554,OLD CUSTOMS,80305,07-Jan-21,07-Jan-21
8030555,BRAMHANVADI,80305,07-Jan-21,07-Jan-21
8030556,MAYURI MARG,80305,07-Jan-21,07-Jan-21
8030557,PATIGADDA,80305,07-Jan-21,07-Jan-21
8030658,Lotukunta,80306,07-Jan-21,07-Jan-21
8030659,West Venkatapuram,80306,07-Jan-21,07-Jan-21
8030660,Venkatapuram,80306,07-Jan-21,07-Jan-21
8030661,Alwal,80306,07-Jan-21,07-Jan-21
8030662,Temple Alwal,80306,07-Jan-21,07-Jan-21
8030663,Reddy Enclave,80306,07-Jan-21,07-Jan-21
8030664,Old Alwal,80306,07-Jan-21,07-Jan-21
8030665,Surya Nagar,80306,07-Jan-21,07-Jan-21
8030666,Mangapuram,80306,07-Jan-21,07-Jan-21
8030767,DOVTON BAZAR,80307,07-Jan-21,07-Jan-21
8030768,Sadar Bazar,80307,07-Jan-21,07-Jan-21
8030769,Risala Bazar,80307,07-Jan-21,07-Jan-21
8030770,Adarsh Nagar,80307,07-Jan-21,07-Jan-21
8030771,Bhrundhavan,80307,07-Jan-21,07-Jan-21
8030772,Gopal Nagar,80307,07-Jan-21,07-Jan-21
8030773,M.G. Nagar,80307,07-Jan-21,07-Jan-21
8030774,Macha Bollaum,80307,07-Jan-21,07-Jan-21
8030775,Krishna Nagar Colony,80307,07-Jan-21,07-Jan-21
8030876,Shamirpet,80308,07-Jan-21,07-Jan-21
8030877,Shamirpet,80308,07-Jan-21,07-Jan-21
8030878,Muduchinthalapally,80308,07-Jan-21,07-Jan-21
8030879,Udammarry,80308,07-Jan-21,07-Jan-21
8040101,OLD BOWENPALLY,80401,07-Jan-21,07-Jan-21
8040102,HASMATHPET,80401,07-Jan-21,07-Jan-21
8040103,NEW BOWENPALLY,80401,07-Jan-21,07-Jan-21
8040104,BHAVANA COLONY,80401,07-Jan-21,07-Jan-21
8040105,TAADBAND,80401,07-Jan-21,07-Jan-21
8040106,ICRISAT COLONY,80401,07-Jan-21,07-Jan-21
8040107,SIKH VILLAGE,80401,07-Jan-21,07-Jan-21
8040108,DIAMOND POINT,80401,07-Jan-21,07-Jan-21
8040209,INDIRA NAGAR,80402,07-Jan-21,07-Jan-21
8040210,GREEN FIELDS,80402,07-Jan-21,07-Jan-21
8040211,KAANAAJIGUDA,80402,07-Jan-21,07-Jan-21
8040212,SUBHASH NAGAR,80402,07-Jan-21,07-Jan-21
8040213,GUNROCK,80402,07-Jan-21,07-Jan-21
8040314,SUCHITRA,80403,07-Jan-21,07-Jan-21
8040315,JEEDIMETLA,80403,07-Jan-21,07-Jan-21
8040316,ANGADIPET,80403,07-Jan-21,07-Jan-21
8040317,NCL COLONY,80403,07-Jan-21,07-Jan-21
8040318,PRAJAY,80403,07-Jan-21,07-Jan-21
8040319,KOMPALLI,80403,07-Jan-21,07-Jan-21
8040420,MEDCHAL,80404,07-Jan-21,07-Jan-21
8040421,DABILPOOR,80404,07-Jan-21,07-Jan-21
8040422,SALEGUDEM,80404,07-Jan-21,07-Jan-21
8040423,POCHAM PALLI,80404,07-Jan-21,07-Jan-21
8040424,DUNDIGAL,80404,07-Jan-21,07-Jan-21
8040425,BORAMPET,80404,07-Jan-21,07-Jan-21
8040426,BAHADURPALLY,80404,07-Jan-21,07-Jan-21
8040527,RAJIV GRUHA KALPA       ,80405,07-Jan-21,07-Jan-21
8040528,SURARAM COLONY -1,80405,07-Jan-21,07-Jan-21
8040529,SURARAM COLONY -2,80405,07-Jan-21,07-Jan-21
8040530,SAIBABA NAGAR ,80405,07-Jan-21,07-Jan-21
8040531,BHAGATSING,80405,07-Jan-21,07-Jan-21
8040532,RAJIVA GANDHI NAGAR,80405,07-Jan-21,07-Jan-21
8040533,SURARAM VILLAGE ,80405,07-Jan-21,07-Jan-21
8040634,Aparupa colony,80406,07-Jan-21,07-Jan-21
8040735,GAJULA RAMARAM ,80407,07-Jan-21,07-Jan-21
8040736,HAL ,80407,07-Jan-21,07-Jan-21
8040737,SARDAR PATEL ,80407,07-Jan-21,07-Jan-21
8040738,SRINIVAS NAGAR,80407,07-Jan-21,07-Jan-21
8040739,KALAWATI NAGAR,80407,07-Jan-21,07-Jan-21
8040740,SANJAYGANDHI NAGAR,80407,07-Jan-21,07-Jan-21
8040741,SHAPUR,80407,07-Jan-21,07-Jan-21
8040742,SUBHASH NAGAR,80407,07-Jan-21,07-Jan-21
8040843,INDRASING NAGAR ,80408,07-Jan-21,07-Jan-21
8040844,BALANAGAR ,80408,07-Jan-21,07-Jan-21
8040845,BHEL ,80408,07-Jan-21,07-Jan-21
8040846,ADARSH NAGAR,80408,07-Jan-21,07-Jan-21
8040847,SURYANAGAR,80408,07-Jan-21,07-Jan-21
8040848,GANESH NAGAR,80408,07-Jan-21,07-Jan-21
8040849,BALREDDY NAGAR,80408,07-Jan-21,07-Jan-21
8040850,QUTUBULLAPUR,80408,07-Jan-21,07-Jan-21
8040851,VAJPAYEE NAGAR,80408,07-Jan-21,07-Jan-21
8040852,SRI RAM NAGAR,80408,07-Jan-21,07-Jan-21
8050101,Vivek Nagar,80501,07-Jan-21,07-Jan-21
8050102,Balaji Nagar,80501,07-Jan-21,07-Jan-21
8050103,Prashanth Nagar,80501,07-Jan-21,07-Jan-21
8050104,Sangeethanagar,80501,07-Jan-21,07-Jan-21
8050105,AVB Puram,80501,07-Jan-21,07-Jan-21
8050106,Vivekanada Nagar,80501,07-Jan-21,07-Jan-21
8050107,Bhagameer,80501,07-Jan-21,07-Jan-21
8050108,Balakrishna Nagar,80501,07-Jan-21,07-Jan-21
8050109,Venkatrao Nagar,80501,07-Jan-21,07-Jan-21
8050110,Prakash Nagar,80501,07-Jan-21,07-Jan-21
8050211,4th PHASE,80502,07-Jan-21,07-Jan-21
8050212,7th PHASE,80502,07-Jan-21,07-Jan-21
8050213,5th PHASE,80502,07-Jan-21,07-Jan-21
8050214,VASANTHA NAGAR,80502,07-Jan-21,07-Jan-21
8050215,9th PHASE,80502,07-Jan-21,07-Jan-21
8050216,6th PHASE,80502,07-Jan-21,07-Jan-21
8050217,8th PHASE,80502,07-Jan-21,07-Jan-21
8050218,DHARMA REDDY NAGAR,80502,07-Jan-21,07-Jan-21
8050219,PHASE 1&2,80502,07-Jan-21,07-Jan-21
8050320,GUTTALA BEGUMPET,80503,07-Jan-21,07-Jan-21
8050321,AYYAPPA BASTI,80503,07-Jan-21,07-Jan-21
8050322,MADHAPUR,80503,07-Jan-21,07-Jan-21
8050323,CHANDANAGAR THANDA,80503,07-Jan-21,07-Jan-21
8050324,KHANAMET BASTI,80503,07-Jan-21,07-Jan-21
8050325,ANJANEYA NAGAR,80503,07-Jan-21,07-Jan-21
8050326,SIDDIVINAYAKA BASTI,80503,07-Jan-21,07-Jan-21
8050327,SRIRAM NAGAR,80503,07-Jan-21,07-Jan-21
8050328,MASJID BANDA,80503,07-Jan-21,07-Jan-21
8050329,KOTHAGUDA,80503,07-Jan-21,07-Jan-21
8050330,KONDAPUR,80503,07-Jan-21,07-Jan-21
8050431,MADURANAGAR,80504,07-Jan-21,07-Jan-21
8050432,RAHMATH NAGAR,80504,07-Jan-21,07-Jan-21
8050433,KARMIKANAGAR,80504,07-Jan-21,07-Jan-21
8050434,SPR HILS,80504,07-Jan-21,07-Jan-21
8050435,SITE -3,80504,07-Jan-21,07-Jan-21
8050436,BORABANDA,80504,07-Jan-21,07-Jan-21
8050437,MOTHINAGAR,80504,07-Jan-21,07-Jan-21
8050438,VIVEKANADANAGAR,80504,07-Jan-21,07-Jan-21
8050439,AG COLONY,80504,07-Jan-21,07-Jan-21
8050440,ERRAGADDA,80504,07-Jan-21,07-Jan-21
8050541,SANATH NAGAR srt,80505,07-Jan-21,07-Jan-21
8050542,CZECH COLONY,80505,07-Jan-21,07-Jan-21
8050543, SHIVAJINAGAR,80505,07-Jan-21,07-Jan-21
8050544,BALKAMPET,80505,07-Jan-21,07-Jan-21
8050545,"FATENAGAR
PIPLINE ROAD   ",80505,07-Jan-21,07-Jan-21
8050546,"FATENAGAR 
SHISHUMANDIR RAOAD",80505,07-Jan-21,07-Jan-21
8050547,SR NAGAR,80505,07-Jan-21,07-Jan-21
8050548,AMEERPET,80505,07-Jan-21,07-Jan-21
8050549,PRASHANTH NAGAR,80505,07-Jan-21,07-Jan-21
8050550,SHANTHI  NAGAR,80505,07-Jan-21,07-Jan-21
8050551,Bharath Nagar,80505,07-Jan-21,07-Jan-21
8050552,Jinkalwada,80505,07-Jan-21,07-Jan-21
8050553, Moosapet,80505,07-Jan-21,07-Jan-21
8050554,Pragathi nagar ,80505,07-Jan-21,07-Jan-21
8050555,Janta nagar ,80505,07-Jan-21,07-Jan-21
8050556,Anjaneya nagar,80505,07-Jan-21,07-Jan-21
8050557,Rainbow Vistas,80505,07-Jan-21,07-Jan-21
8050658,Jagadgirigutta  bustop,80506,07-Jan-21,07-Jan-21
8050659,Allwyn colony phase-2,80506,07-Jan-21,07-Jan-21
8050660,Shiva nagar,80506,07-Jan-21,07-Jan-21
8050661,Allwyn colony phase-1,80506,07-Jan-21,07-Jan-21
8050662,Venkateshwaranagar,80506,07-Jan-21,07-Jan-21
8050663,Srinivas Nagar Ring Basti,80506,07-Jan-21,07-Jan-21
8050664,Maqdoom Nagar,80506,07-Jan-21,07-Jan-21
8050665,Papireddy Nagar,80506,07-Jan-21,07-Jan-21
8050666,Asbestos colony,80506,07-Jan-21,07-Jan-21
8050667,Girinagar/Gandhinagar,80506,07-Jan-21,07-Jan-21
8050668,Ranga reddy nagar,80506,07-Jan-21,07-Jan-21
8050769,Pragathi Nagar,80507,07-Jan-21,07-Jan-21
8050770,Sai Nagar,80507,07-Jan-21,07-Jan-21
8050771,Rajeev Gruhakalpa,80507,07-Jan-21,07-Jan-21
8050772,Nizampet,80507,07-Jan-21,07-Jan-21
8050773,Bandari Layout,80507,07-Jan-21,07-Jan-21
8050774,Rajeev Gandhi Nagar,80507,07-Jan-21,07-Jan-21
8050775,Ramnaresh Nagar,80507,07-Jan-21,07-Jan-21
8050776,Yellamma Banda,80507,07-Jan-21,07-Jan-21
8050777,Jaya Nagar,80507,07-Jan-21,07-Jan-21
8050778,HMT Hills,80507,07-Jan-21,07-Jan-21
8050879,JPN nagar,80508,07-Jan-21,07-Jan-21
8050880,Mayuri Nagar,80508,07-Jan-21,07-Jan-21
8050881,Balaji Nagar,80508,07-Jan-21,07-Jan-21
8050882,Mathrusree Nagar,80508,07-Jan-21,07-Jan-21
8050883,Janapriya Apartments,80508,07-Jan-21,07-Jan-21
8050884,Sai Nagar,80508,07-Jan-21,07-Jan-21
8050885,Mythri Nagar,80508,07-Jan-21,07-Jan-21
8050886,Madinaguda,80508,07-Jan-21,07-Jan-21
8050887,Deepthisri Nagar,80508,07-Jan-21,07-Jan-21
8050888,Prashanth Nagar,80508,07-Jan-21,07-Jan-21
8050889,HMT Swarnapuri,80508,07-Jan-21,07-Jan-21
8050990,RTC Colony,80509,07-Jan-21,07-Jan-21
8050991, Huda colony,80509,07-Jan-21,07-Jan-21
