Basti / Upamandal ID,Basti / Upamandal Name,Nagar ID,Created On,Modified On
90101005,PANJAGUTTA,90101,08-Jan-21,08-Jan-21
90101006,SRINAGAR COLONY,90101,08-Jan-21,08-Jan-21
90101007,KRISHNA NAGAR,90101,08-Jan-21,08-Jan-21
90101008,FILM NAGAR,90101,08-Jan-21,08-Jan-21
90102009,LAXMI NAGAR(KHAIRTHABAD),90102,08-Jan-21,08-Jan-21
90102010,SARASWATHI NAGAR,90102,08-Jan-21,08-Jan-21
90102011,MARUTHI NAGAR,90102,08-Jan-21,08-Jan-21
90102012,ANAND NAGAR,90102,08-Jan-21,08-Jan-21
90102013,PADMAVATHI NAGAR,90102,08-Jan-21,08-Jan-21
90102014,PREM NAGAR,90102,08-Jan-21,08-Jan-21
90102015,VEER NAGAR,90102,08-Jan-21,08-Jan-21
90102016,THUMMALA BASTHI,90102,08-Jan-21,08-Jan-21
90102017,SOMAJIGUDA,90102,08-Jan-21,08-Jan-21
90102018,BHOLA SHANKAR BASTHI,90102,08-Jan-21,08-Jan-21
90102019,METHODIST COLONY,90102,08-Jan-21,08-Jan-21
90102020,BANJARA HILLS,90102,08-Jan-21,08-Jan-21
90102021,N B T NAGAR,90102,08-Jan-21,08-Jan-21
90103022,SEETHARAM BAGH,90103,08-Jan-21,08-Jan-21
90103023,INDIRA NAGAR,90103,08-Jan-21,08-Jan-21
90103024,DATHATREYA NAGAR,90103,08-Jan-21,08-Jan-21
90103025,KOMATIKUNTA,90103,08-Jan-21,08-Jan-21
90103026,BAJARGHAT,90103,08-Jan-21,08-Jan-21
90103027,DEVIBAGH,90103,08-Jan-21,08-Jan-21
90103028,ADARSH NAGAR,90103,08-Jan-21,08-Jan-21
90103029,MAHESH NAGAR,90103,08-Jan-21,08-Jan-21
90103030,KATTELA MANDI,90103,08-Jan-21,08-Jan-21
90103031,OMNAGAR,90103,08-Jan-21,08-Jan-21
90104032,HINDI NAGAR,90104,08-Jan-21,08-Jan-21
90104033,PHEEL KHANA,90104,08-Jan-21,08-Jan-21
90104034,BEGUM BAZAR,90104,08-Jan-21,08-Jan-21
90104035,CHUDI BAZAR,90104,08-Jan-21,08-Jan-21
