Basti ID,Basti  Name,Nagar ID,Created On,Modified On
80306065,Surya Nagar,80306,08-Jan-21,08-Jan-21
80306066,Mangapuram,80306,08-Jan-21,08-Jan-21
80307067,DOVTON BAZAR,80307,08-Jan-21,08-Jan-21
80307068,Sadar Bazar,80307,08-Jan-21,08-Jan-21
80307069,Risala Bazar,80307,08-Jan-21,08-Jan-21
80307070,Adarsh Nagar,80307,08-Jan-21,08-Jan-21
80307071,Bhrundhavan,80307,08-Jan-21,08-Jan-21
80307072,Gopal Nagar,80307,08-Jan-21,08-Jan-21
80307073,M.G. Nagar,80307,08-Jan-21,08-Jan-21
80307074,Macha Bollaum,80307,08-Jan-21,08-Jan-21
80307075,Krishna Nagar Colony,80307,08-Jan-21,08-Jan-21
80308076,Shamirpet,80308,08-Jan-21,08-Jan-21
80308077,Shamirpet,80308,08-Jan-21,08-Jan-21
80308078,Muduchinthalapally,80308,08-Jan-21,08-Jan-21
80308079,Udammarry,80308,08-Jan-21,08-Jan-21
