Palle ID,Palle Name,Upabasti / Gramam ID,Created On,Modified On
80407039168,TSIIC COLONY,80407039168,08-Jan-21,08-Jan-21
80407039169,DP COLONY,80407039169,08-Jan-21,08-Jan-21
80407040170,NEHRU NAGAR,80407040170,08-Jan-21,08-Jan-21
80407040171,SANJAYGANDHI HOSPITAL,80407040171,08-Jan-21,08-Jan-21
80407040172,SHIVALAYAM,80407040172,08-Jan-21,08-Jan-21
80407040173,POCHAMA TEMPLE,80407040173,08-Jan-21,08-Jan-21
80407041174,SHAPUR MARKET-A,80407041174,08-Jan-21,08-Jan-21
80407041175,SHAPUR MARKET-B,80407041175,08-Jan-21,08-Jan-21
80407041176,H.M.T.QUARTERS,80407041176,08-Jan-21,08-Jan-21
80407041177,JEEDIMETLA INDUSTRY,80407041177,08-Jan-21,08-Jan-21
80407042178,POCHAMMA TEMPLE,80407042178,08-Jan-21,08-Jan-21
80407042179,AAYEE MATA TEMPLE,80407042179,08-Jan-21,08-Jan-21
80407042180,AYODHYA NAGAR,80407042180,08-Jan-21,08-Jan-21
80407042181,RAMREDDY NAGAR,80407042181,08-Jan-21,08-Jan-21
80407042182,SUBHASH NAGAR-A,80407042182,08-Jan-21,08-Jan-21
80407042183,SUBHASH NAGAR-B,80407042183,08-Jan-21,08-Jan-21
80408043184,INDRASING NAGAR ,80408043184,08-Jan-21,08-Jan-21
80408043185,VANI COLONY,80408043185,08-Jan-21,08-Jan-21
80408043186,VENKATESH NAGAR,80408043186,08-Jan-21,08-Jan-21
80408043187,MODI APMT.,80408043187,08-Jan-21,08-Jan-21
80408044188,RAJU COLONY,80408044188,08-Jan-21,08-Jan-21
80408044189,HAL,80408044189,08-Jan-21,08-Jan-21
80408044190,SAINAGAR,80408044190,08-Jan-21,08-Jan-21
80408044191,NAVJEEVAN NAGAR,80408044191,08-Jan-21,08-Jan-21
80408044192,POLICE QUARTERS,80408044192,08-Jan-21,08-Jan-21
80408044193,VINAYAK NAGAR,80408044193,08-Jan-21,08-Jan-21
80408045194,BHEL,80408045194,08-Jan-21,08-Jan-21
80408045195,FEROZGUDA,80408045195,08-Jan-21,08-Jan-21
80408045196,ANTAMMAGUDA,80408045196,08-Jan-21,08-Jan-21
80408045197,PHOOL BAGH,80408045197,08-Jan-21,08-Jan-21
80408046198,ADARSH NAGAR,80408046198,08-Jan-21,08-Jan-21
80408046199,APHB COLONY,80408046199,08-Jan-21,08-Jan-21
80408046200,CHANDRA NAGAR,80408046200,08-Jan-21,08-Jan-21
80408046201,CHINTAL,80408046201,08-Jan-21,08-Jan-21
80408046202,RANGANAGAR,80408046202,08-Jan-21,08-Jan-21
80408047203,SURYANAGAR,80408047203,08-Jan-21,08-Jan-21
80408047204,RAMREDDY NAGAR,80408047204,08-Jan-21,08-Jan-21
80408047205,PAPAYYA NAGAR,80408047205,08-Jan-21,08-Jan-21
80408048206,GANESH NAGAR,80408048206,08-Jan-21,08-Jan-21
80408048207,DWARAKA NAGAR,80408048207,08-Jan-21,08-Jan-21
80408048208,THE NAGAR,80408048208,08-Jan-21,08-Jan-21
80408048209,SUDARSHAN REDDY,80408048209,08-Jan-21,08-Jan-21
80408048210,DWARAKAPURI COLONY,80408048210,08-Jan-21,08-Jan-21
80408049211,BALREDDY NAGAR,80408049211,08-Jan-21,08-Jan-21
80408049212,PADMA NAGAR PHASE-1,80408049212,08-Jan-21,08-Jan-21
80408049213,CHERUKUPALLI COLONY,80408049213,08-Jan-21,08-Jan-21
80408049214,KALPANA SOCIETY,80408049214,08-Jan-21,08-Jan-21
80408049215,NTR COLONY,80408049215,08-Jan-21,08-Jan-21
80408049216,DILKHUSH NAGAR,80408049216,08-Jan-21,08-Jan-21
80408050217,QUTUBULLAPUR,80408050217,08-Jan-21,08-Jan-21
80408050218,VIMANPURI COLONY,80408050218,08-Jan-21,08-Jan-21
80408050219,RENUKA ENCLAVE,80408050219,08-Jan-21,08-Jan-21
80408050220,VENKANNA HILLS,80408050220,08-Jan-21,08-Jan-21
80408050221,BIRAPPA NAGAR,80408050221,08-Jan-21,08-Jan-21
80408051222,VAJPAYEE NAGAR,80408051222,08-Jan-21,08-Jan-21
80408051223,DATTATREYYA,80408051223,08-Jan-21,08-Jan-21
80408051224,SAI NAGAR,80408051224,08-Jan-21,08-Jan-21
80408051225,PRASANNA NAGAR,80408051225,08-Jan-21,08-Jan-21
80408051226,SRINIVAS NAGAR,80408051226,08-Jan-21,08-Jan-21
80408052227,SRI RAM NAGAR,80408052227,08-Jan-21,08-Jan-21
80408052228,PADMA NAGAR PHASE-2,80408052228,08-Jan-21,08-Jan-21
80408052229,BAPU NAGAR,80408052229,08-Jan-21,08-Jan-21
80501001001,PNM School Basti,80501001001,08-Jan-21,08-Jan-21
80501001002,Community Hall Basti,80501001002,08-Jan-21,08-Jan-21
80501001003,Sai Baba Gudi Basti,80501001003,08-Jan-21,08-Jan-21
80501001004,Govt School Basti,80501001004,08-Jan-21,08-Jan-21
80501001005,Church Basti,80501001005,08-Jan-21,08-Jan-21
80501002006,Tennis Ground Basti,80501002006,08-Jan-21,08-Jan-21
80501002007,Sai Baba Gudi Basti,80501002007,08-Jan-21,08-Jan-21
80501002008,Kanakadurga Gudi Basti,80501002008,08-Jan-21,08-Jan-21
